log_id,raw_log
241,"2026-03-24T04:00:07Z User vikram.sharma@example.com successfully accessed https://portal.corp.example.com:8443/home?id=3958 from 172.23.98.221 using Safari/17.4.1, location [N18.535 E73.851]"
242,"02/14/2026 08:28:12 AM - Service Account anonymous was allowed to access https://vault.corp.example.com/secrets/prod from 2001:db8::c5b3 using aws-cli/2.15.0, location [N12.9518 E77.5637]"
243,"2026-01-13T11:11:11Z | email=sofia.garcia@mail.example.org | action=""Login successful"" | resource=https://mail.example.org/inbox | tool=Safari/17.4.1 | ip=192.0.2.44 | lat=40.7128 | lon=-74.0060 | status=OK"
244,"2026-01-14T16:40:27Z | type=N/A | email=olivia.brown@shop.example.org | action=""Access granted"" | resource=/account/orders | tool=Chrome/124.0.6367.91 | ip=198.51.100.9 | status=SUCCESS"
245,"2026-04-26T01:22:24.791Z|entity=USER|email=yuki.menon@mail.example.org|action=""Login failed""|resource=https://portal.corp.example.com/profile/settings|tool=Chrome/123.0.6312.122|ip=198.51.100.13|lat=-33.9142|lng=151.2025|status=401"
246,"::ffff:192.0.2.232 - - [2026-02-13 17:09:03.313] ""GET /admin/roles/2994 HTTP/1.1"" 200 33171 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0"" entity=ADMIN user=<fatima.sharma52@corp.example.com> geo=19.0715,72.9015 msg=""Request allowed"""
247,"1768246008 | user=wei.tanaka@mail.example.co.uk | lon=-21.9118 | lat=64.1136 | tool=Firefox/124.0.2 | ip=2001:0db8:7cfb:0f54:4a12:8d84:ac37:87bc | entity=Customer | result=201 | path=/orders/41028 | action=""access granted"""
248,"Feb 23 18:15:17 auth-gw02 openvpn[8297]: {""entity"":""user"",""principal"":""meera.desai@corp.example.com"",""resource"":""/profile/settings"",""client"":""Chrome/124.0.6367.91"",""src_ip"":""203.0.113.109"",""msg"":""login successful"",""status"":""ok""}"
249,"2026-02-03T18:54:21Z Admin ""Vikram Sharma"" <VIKRAM.SHARMA@HQ.EXAMPLE.NET> successfully accessed /admin/roles/28456 via Chrome/123.0.6312.122 from 10.114.102.200 (51.468756, -0.097420) [ALLOWED]"
250,"Mar  9 21:40:33 api-gw01 audit[6176]: {""entity"": ""user"", ""principal"": ""SNEHA.WILSON@CORP.EXAMPLE.COM"", ""target"": ""/projects/alpha"", ""client"": ""Chrome/124.0.6367.91"", ""ip"": ""2001:db8:e5:fda8::2a43"", ""geo"": {""lat"": -23.502061, ""lng"": -46.683235}, ""action"": ""login successful"", ""status"": 200}"
251,"[2001:db8::e639]:42013 - - [07/Feb/2026:21:41:31 +0530] ""POST https://portal.corp.example.com/calendar?id=3244 HTTP/1.1"" 403 29100 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0"" type=User user=<rahul.kulkarni+2026@corp.example.com> geo=18.4967,73.8287 msg=""Blocked by WAF policy"""
252,"03-02-2026 23:33:15;SERVICE_ACCOUNT;svc-monitoring@infra.example.internal;aws-cli/2.15.0;s3://tf-state/prod/network.tfstate;;;192.168.161.219;ACCESS PERMITTED;ok"
253,"2026-05-28T16:49:58+05:30 | email=svc-monitoring@infra.example.internal | resource=s3://analytics-raw/events/dt=2026-04-03/part-99855.snappy.parquet | action=""access granted"" | entity=SERVICE_ACCOUNT | lon=73.8147783 | lat=18.4968237 | client=Ansible 2.16.4 | result=ALLOWED | ip=172.24.129.219"
254,"04/27/2026 03:27:41 AM - Customer anonymous successfully accessed /returns/26178 via Chrome/124.0.6367.91 from 2001:db8:4bc:ffd4::64e0 (1.3232, 103.8132) - 200 OK"
255,"2026-01-15T07:05:55Z | entity=USER | email=john..doe@corp.example.com | action=""Login failed"" | resource=https://portal.corp.example.com/login | tool=Chrome/124.0.6367.91 | ip=192.168.10.77 | status=FAILED"
256,"203.0.113.10:50876 - - [14/May/2026:15:06:02 +0530] ""GET https://portal.corp.example.com/documents/policies HTTP/1.1"" 401 15002 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.2478.67"" role=VENDOR user=<kavya.menon@corp.example.com> loc=POINT(77.6178 12.9449) msg=""MFA challenge"""
257,"[2001:db8:cf54:ca60::a0bd]:25974 - - [2026-05-07 25:61:47.462] ""GET /cart HTTP/1.1"" 200 1090 ""https://sso.example.com/login"" ""Mozilla/5.0 (X11; Linux x86_64; rv:125.0) Gecko/20100101 Firefox/125.0"" type=Customer user=<SIPHO.KHAN@SHOP.EXAMPLE.ORG> geo=19.072052,72.877692 msg=""Access denied: insufficient privileges"""
258,"172.21.151.208:52298 - - [2026-06-26 12:20:42.588] ""GET https://artifacts.example.internal/releases/8.18.8.54/app-8.18.8.54.zip HTTP/1.1"" 200 10800 ""-"" ""python-requests/2.31.0"" entity=Service Account loc=POINT(72.86292 19.10815) msg=""Session started"""
259,"19-04-2026 12:40;USER;NADIA.ZHANG70@CORP.EXAMPLE.COM;Chrome/124.0.6367.91;https://portal.corp.example.com/payslips?id=4389;51.5434;-0.1220;192.168.24.218;Access granted;ALLOWED"
260,"[2001:db8:abce:cf80::85b]:61423 - isabela.rao@corp.example.com [22/Feb/2026:21:27:59 +0000] ""GET /dashboard?id=2483 HTTP/1.1"" 403 24860 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.2478.67"" geo=64.195753,-21.977117 msg=""Blocked by WAF policy"""
261,"<38>1 2026-06-10T13:27:51.308Z sso01 openvpn 5243 AUDIT - {""entity"":""admin"",""user"":""priya.smith@corp.example.com"",""target"":""/srv/data/exports/customers_2026-06-14.csv"",""user_agent"":""curl/8.4.0"",""ip"":""2001:db8:1564:81fc::6569"",""geo"":{""lat"":1.3727,""lng"":103.8318},""event"":""permitted"",""http_status"":200}"
262,"2025/12/31 23:38:22;CUSTOMER;ARJUN.ZHANG@SHOP.EXAMPLE.ORG;Edge/124.0.2478.67;https://shop.example.org/checkout;-23.56483;-46.65805;198.51.100.228;LOGIN FAILED;fail"
263,"1781627024778 | action=Request allowed | url=/reports/q1 | principal=kwame.joshi@eu.corp.example.com | lon=103.8597 | tool=Firefox/124.0.2 | ip=192.0.2.150 | lat=1.3256 | entity_type=USER | result=ALLOWED"
264,"2026-05-06T17:13:25Z Bot synthetic-probe@infra.example.internal was denied access to /healthz via kube-probe/1.29 from 172.22.245.230 [N18.486649 E73.903061] [FAILED]"
265,"2026-06-05T03:48:40Z | entity=USER | user=noah.ivanova@eu.corp.example.com | action=""Permission granted"" | resource=/leave/apply | client=Chrome/123.0.6312.122 | ip=2001:db8::1cf6 | lat=19.07 | lon=72.83 | status=SUCCESS"
266,"172.29.149.153 - - [2026-02-07 19:55:14.477] ""GET https://portal.corp.example.com/profile/settings HTTP/1.1"" 403 44026 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:125.0) Gecko/20100101 Firefox/125.0"" entity=USER user=<fatima.brown7@example.com> msg=""Blocked by WAF policy"""
267,"2026-06-25T04:17:22Z|entity=user|email=amara.dlamini39@example.com|action=""Unauthorized attempt""|resource=https://portal.corp.example.com/home|tool=|ip=2001:db8:a85a:8a5c::8370|lat=18.5455|lng=73.8135|status=DENIED"
268,"2026-04-04 14:08:26 | entity=api-client | email=api-client-1281@partners.example.net | action=""Permission granted"" | resource=https://api.example.com/api/v2/invoices?status=open&page=5 | agent=python-requests/2.31.0 | ip=192.0.2.189 | lat=18.51 | lon=73.83 | status=SUCCESS"
269,"May 21 16:55:10 k8s-api01 haproxy[9095]: {""entity"":""customer"",""user"":""sneha.silva@example.com"",""resource"":""/account"",""src_ip"":""10.59.137.21"",""geo"":{""lat"":40.669707,""lng"":-74.055602},""event"":""permission denied"",""http_status"":403}"
270,"2026-05-16T18:56:14Z User mateo.ivanova@hq.example.net successfully accessed https://portal.corp.example.com/wiki/Onboarding from 10.222.112.143 using Chrome/123.0.6312.122, location (18.5557, 73.8986)"
271,"2001:0db8:4e29:1616:cd46:1b6f:f7bf:0d41 - - [2026-01-09 15:29:09.231] ""POST /profile/settings HTTP/2.0"" 401 6138 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"" type=User user=<elena.joshi@corp.example.com> loc=POINT(139.6026 35.7116) msg=""Login failed"""
272,"<134>1 2026-04-07T11:49:04.068Z fw01 audit 2636 AUDIT - {""level"":""info"",""entity_type"":""user"",""user"":""sofia-li@mail.example.org"",""resource"":""/profile/settings"",""user_agent"":""Chrome/124.0.6367.91"",""ip"":""203.0.113.208"",""latitude"":18.52471,""longitude"":73.84374,""msg"":""authentication failed"",""status"":401}"
273,"May 18 08:12:16 fw01 haproxy[1853]: {""principal_type"":""user"",""email"":""kenji.t.ivanova@mail.example.org"",""resource"":""/reports/q2?id=5288"",""tool"":""Firefox/125.0"",""remote_addr"":""203.0.113.211"",""location"":""-1.2498,36.8391"",""event"":""request permitted"",""result"":""ALLOWED""}"
274,"Mar 28 06:19:24 api-gw01 guard[1602]: {""entity"":""api_client"",""target"":""/api/v1/users/57538/roles"",""tool"":""Go-http-client/1.1"",""ip"":""192.0.2.184"",""geo"":{""lat"":40.7411,""lng"":-74.0298},""msg"":""token expired""}"
275,"[12/Jun/2026:07:30:06 +1000] Customer amara.rossi@mail.example.co.uk logged in to /account via Firefox/125.0 from 172.23.132.87 (-33.914, 151.181) - status: SUCCESS"
276,"Jun 14 14:00:22 vpn01 authd[6341]: {""entity"": ""customer"", ""principal"": ""zara.andersen@shop.example.org"", ""resource"": ""/account"", ""tool"": ""Firefox/124.0.2"", ""ip"": ""192.0.2.105"", ""event"": ""authentication failed"", ""result"": ""FAILED""}"
277,"2001:db8:f013:6db::42db - anita.sharma@corp.example.com [09/May/2026:04:44:40 +0000] ""GET /calendar?id=8771 HTTP/1.1"" 200 1474 ""-"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"" type=USER msg=""Authorized"""
278,"2001:db8::fb::a6 - - [2026-06-15 06:08:40.967] ""GET https://artifacts.example.internal/releases/5.15.9.93/app-5.15.9.93.zip HTTP/1.1"" 403 - ""-"" ""Boto3/1.34.69"" type=SERVICE_ACCOUNT user=<svc-monitoring@infra.example.internal> loc=POINT(-0.167 51.546) msg=""Access denied: insufficient privileges"""
279,"1782783175529 | type=API_CLIENT | email=integration.redwood@partners.example.net | event=""Login failed"" | resource=https://api.example.com/api/v2/shipments?status=in_transit | agent=PostmanRuntime/7.37.0 | src_ip=203.0.113.70 | status=FAIL"
280,"14-01-2026 15:55;BOT;synthetic-probe@infra.example.internal;kube-probe/1.29;http://10.20.0.110:8080/actuator/health;;;172.22.232.85;LOGIN OK;OK"
281,"2026-02-06T14:51:20.356Z | entity=CUSTOMER | email=rahul.joshi@mail.example.co.uk | action=""Permission granted"" | resource=https://shop.example.org/checkout | tool=MobileSafari/17.4.1 | src_ip=203.0.113.53 | lat=-22.87 | lon=-43.20 | result=200"
282,"1771439986211|lng=139.61878|ip=2001:db8:e4d7:a986::1fcb|resource=/account|tool=Firefox/125.0|status=SUCCESS|email=priya.haddad@shop.example.org|action=""Login successful""|type=customer|lat=35.64303"
283,"192.168.188.111 - - [2026-03-06 22:57:32.942] ""PUT /reports/q2 HTTP/1.1"" 200 36983 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"" type=USER user=<ngarcia@example.co.uk> lon=73.8782654 msg=""Request allowed"""
284,"2001:0db8:e135:a11e:900f:3812:ebc7:f528 - - [2026-01-01 02:38:46.268] ""POST https://api.example.com/api/v2/search?q=annual%20report%202025 HTTP/1.1"" 403 21419 ""-"" ""Go-http-client/1.1"" role=API Client user=<integration.orbit@partners.example.net> lat=18.517835 msg=""Access denied: insufficient privileges"""
285,"<86>1 2026-01-06T22:53:31.352Z sso02 haproxy 394 ACCESS - {""entity_type"": ""user"", ""principal"": ""kwame9791@eu.corp.example.com"", ""resource"": ""/profile/settings"", ""user_agent"": ""Firefox/124.0.2"", ""ip"": ""203.0.113.20.85"", ""geo"": {""lat"": 35.7176840, ""lng"": 139.6521517}, ""msg"": ""forbidden"", ""result"": ""BLOCKED""}"
286,"<110>1 2026-03-12T05:49:13.531Z lb01 haproxy 466 ACCESS - {""principal_type"": ""user"", ""principal"": ""meera.nair@corp.example.com"", ""resource"": ""https://portal.corp.example.com/projects/alpha"", ""src_ip"": ""192.0.2.135"", ""geometry"": {""type"": ""Point"", ""coordinates"": [73.8548, 18.5137]}, ""msg"": ""access denied"", ""result"": ""BLOCKED""}"
287,"2026/02/07 19:56:20;GUEST;guest_1517@example.com;Chrome/124.0.6367.91;/catalog/items/73194;-33.9047;151.2202;192.168.128.39;Access declined;DENIED"
288,"Jun  3 09:10:48 auth-gw02 haproxy[6750]: {""entity"": ""service_account"", ""principal"": ""ci-runner-08@build.example.internal"", ""target"": ""db://prod/customers"", ""user_agent"": ""OpenSSH_9.6p1"", ""src_ip"": ""172.21.90.56"", ""action"": ""forbidden"", ""result"": ""BLOCKED""}"
289,"1769861346995 | entity=customer | email=priya.w.rossi@shop.example.org | action=ACCESS DENIED | resource=/checkout | tool=MobileSafari/17.4.1 | src_ip=192.168.201.223 | geo=-23.537,-46.622 | status=BLOCKED"
290,"172.26.241.174 - - [2026-02-19 18:13:05.350] ""GET https://portal.corp.example.com/reports/weekly HTTP/2.0"" 200 27413 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0"" type=USER loc=POINT(-21.93095 64.11961) msg=""Authorized"""
291,"25-05-2026 22:41;USER;ISABELA_KULKARNI@EXAMPLE.CO.UK;Chrome/124.0.6367.91;/dashboard;18.5466 N;73.8572 E;192.0.2.226;Request blocked;BLOCKED"
292,"2026-02-13 13:35:04 | entity_type=GUEST | email=guest_3228@example.com | action=""Request allowed"" | url=/events/2026/registration | ip=203.0.113.241 | lat=22°52'41.9""S | lon=43°12'57.6""W | status=PASS"
293,"Jun 27 22:59:20 fw01 guard[6080]: {""level"":""notice"",""entity_type"":""guest"",""user"":""guest_7082@example.com"",""resource"":""/events/2026/registration"",""tool"":""Safari/17.4.1"",""ip"":""2001:db8::ff32"",""geo"":{""lat"":40.698150,""lng"":-74.053894},""action"":""authentication failed"",""status"":""FAILED""}"
294,"172.22.3.39 - kwame.patel@corp.example.com [2026-06-12T19:01:04+00:00] ""POST https://portal.corp.example.com/leave/apply HTTP/1.1"" 200 5025 ""https://portal.corp.example.com/login"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0"" type=USER loc=POINT(-0.0894 51.5471) msg=""Access granted"""
295,"[28/Apr/2026:05:43:54 +0530] [GUEST] <visitor.1150@guest.example.org> was permitted to access https://portal.corp.example.com/profile/settings?id=6695 from 192.0.2.184 using Chrome/124.0.6367.91, location [N18.522347 E73.833926], result 200 OK"
296,"<110>1 2026-03-03T06:11:21.271Z api-gw01 haproxy 7681 ACCESS - {""entity"":""user"",""resource"":""https://portal.corp.example.com/wiki/Onboarding?id=4142"",""tool"":""Firefox/125.0"",""src_ip"":""203.0.113.31"",""geometry"":{""type"":""Point"",""coordinates"":[-0.0785,51.5387]},""event"":""permitted"",""result"":""PASS""}"
297,"2026-01-15T07:06:12Z | entity=USER | email=meera.nair@@corp.example.com | action=""Login failed"" | resource=https://portal.corp.example.com/login | tool=Firefox/125.0 | ip=192.168.10.78 | status=FAILED"
298,"2026-01-15T18:59:56Z | entity=USER | email=<wei1604@corp.example.com> | action=Permission granted | resource=/reports/q2 | tool=Chrome/123.0.6312.122 | ip=2001:db8::1fa | lat=-22.8855 | lon=-43.1356 | outcome=SUCCESS"
299,"07-01-2026 00:30;;guest_5805@example.com;Chrome/123.0.6312.122;https://portal.corp.example.com/projects/alpha?id=1550;19°03'07.2""N;72°49'44.4""E;2001:db8:9a62:c36f::e9a2;Access declined;BLOCKED"
300,"2026-02-18T01:08:13.772Z | result=EXPIRED | client=Go-http-client/1.1 | src_ip=203.0.113.176 | action=Token expired | resource=https://api.example.com/api/v2/shipments?status=in_transit | entity=api_client | email=integration.cobalt@partners.example.net | lat=-116.9024 | lon=-229.6907"
301,"2026-06-24T02:14:14Z | type=USER | email=<yuki.rao+2026@corp.example.com> | action=""Login successful"" | resource=/calendar | client=Chrome/123.0.6312.122 | ip=172.30.175.132 | lat=1.383436 | lon=103.789827 | status=ok"
302,"203.0.113.120 - - [2026-03-22 08:20:43.274] ""DELETE https://portal.corp.example.com/profile/settings HTTP/2.0"" 201 34294 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:125.0) Gecko/20100101 Firefox/125.0"" role=User user=<KENJI.SATO@EXAMPLE.CO.UK> lat=12.9253 msg=""Authorized"""
303,"1771408793 | entity=Service Account | email=ci-runner-20@build.example.internal | action=""User logged out"" | resource=https://vault.corp.example.com/secrets/staging | client= | src_ip=2001:db8::4414 | lat=51.46095 | lon=-0.16243 | status=SUCCESS"
304,"2026-06-23T00:46:53Z | entity_type=API_CLIENT | action=Unauthorized attempt | path=/api/v1/users/6809/roles | tool=PostmanRuntime/7.37.0 | src_ip=198.51.100.6 | status=403"
305,"[03/May/2026:19:51:33 +1000] User ""Omar Iyer"" <omar.iyer10@corp.example.com> attempted unauthorized access to https://portal.corp.example.com/wiki/Onboarding?id=5181 from 10.97.63.28 using MobileSafari/17.4.1, location (loc: -33.8640, 151.2283), result 403 Forbidden"
306,"<86>1 2026-01-14T11:01:53.304Z auth-gw02 audit 5290 AUTH - {""entity_type"":""admin"",""principal"":""emma.murphy@corp.example.com"",""target"":""postgres://billing.example.internal:5432/ledger?sslmode=require"",""client"":""Chrome/123.0.6312.122"",""src_ip"":""192.168.125.224"",""geo"":{""lng"":-0.0902},""msg"":""blocked by policy"",""http_status"":403}"
307,"20260213T044704;ADMIN;LIAM.DESAI@CORP.EXAMPLE.COM;Postman/10.24.3;/home/deploy/.ssh/authorized_keys;19.0626054 N;72.8814151 E;10.45.159.105;Permitted;SUCCESS"
308,"04/16/2026 10:30:14 AM - [USER] anonymous failed to authenticate to /home via MobileSafari/17.4.1 from 172.19.179.227 at 23°33'26.1""S 46°36'28.8""W - 401 Unauthorized"
309,"10.128.55.92:1487 - - [24/Mar/2026:01:24:00 +0000] ""GET https://vault.corp.example.com/secrets/staging HTTP/1.1"" 302 45037 ""-"" ""kubectl/v1.29.3"" type=Service Account user=<svc-billing-sync@infra.example.internal> loc=POINT(-0.150336 51.536313) msg=""Session started"""
310,"Jan 11 20:16:02 sso01 audit[2440]: {""principal_type"": ""user"", ""user"": ""daniel.patel91@example.gov.in"", ""resource"": ""https://portal.corp.example.com/reports/q2"", ""tool"": ""Edge/124.0.2478.67"", ""src_ip"": ""198.51.100.250"", ""geo"": {""lat"": 12.98142}, ""event"": ""authentication succeeded"", ""status"": ""ok""}"
311,"3/31/2026 8:28 PM;USER;KWAME-MURPHY@EXAMPLE.COM;Chrome/124.0.6367.91;/dashboard;1.3863;103.8346;192.0.2.104;ACCESS DENIED;BLOCKED"
312,"203.0.113.239 - - [2026-02-02T10:27:48+00:00] ""POST https://portal.corp.example.com/reports/weekly HTTP/1.1"" 201 14210 ""-"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"" user=<guest_2481@example.com> loc=POINT(-0.1460 51.4796) msg=""Access granted"""
313,"2026-04-05T09:54:28.755Z | entity=service-account | user=ci-runner-04@build.example.internal | action=""Request allowed"" | resource=s3://analytics-raw/events/dt=2026-01-19/part-29320.snappy.parquet | tool=psql/16.2 | src_ip=172.19.212.70 | lat=-23.5405851 | status=PASS"
314,"03/11/2026 10:01:03 PM - [success] [SERVICE_ACCOUNT] ci-runner-07@build.example.internal connecting from 2001:db8::2ea0 with python-requests/2.31.0 located at 23°30'24.6""S 46°36'52.2""W was allowed to access /opt/app/config/settings.yaml."
315,"198.51.100.170:15071 - - [2026-05-09T20:00:18+05:30] ""GET https://api.example.com/api/v1/users/1007/roles HTTP/1.1"" 202 2066 ""-"" ""PostmanRuntime/7.37.0"" type=API_CLIENT user=<api-client-5233@partners.example.net> lat=18.5096 lon=73.8207 msg=""Password reset requested"""
316,"203.0.113.150 - - [01/Jun/2026:21:14:00 -0300] ""GET https://admin.corp.example.com/iam/roles HTTP/1.1"" 401 9251 ""-"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_4_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15"" type=Admin user=<eokafor@corp.example.com> lon=-43.12809 msg=""Unauthorized"""
317,"172.27.254.11 - bot-monitor@infra.example.internal [05/Mar/2026:19:16:25 +0900] ""POST /metrics HTTP/2.0"" 403 24577 ""-"" ""Prometheus/2.51.1"" type=BOT geo=35.63494,139.63363 msg=""Forbidden"""
318,"2026-03-12 10:23:51 | user=visitor.3160@guest.example.org | lat=N/A | status=PASS | ip=2001:db8:zz12::50 | resource=/events/2026/registration | action=Request allowed | entity=GUEST | lon="
319,"20260603T004933;USER;ANITA_SHARMA@CORP.EXAMPLE.COM;Edge/124.0.2478.67;https://portal.corp.example.com/profile/settings;40.7389;-74.0482;198.51.100.29;Permitted;allowed"
320,"01/28/2026 07:57:07 AM - [NOT_FOUND] Service Account <svc-backup@infra.example.internal> connecting from 172.24.103.24 with terraform/1.7.2 located at lat 19.1216 lon 72.8696 requested a missing resource s3://prod-backups/daily/2026-06-08/."
321,"<38>1 2026-01-11T18:37:00.420Z api-gw01 openvpn 411 ACCESS - {""principal_type"": ""service_account"", ""user"": ""svc-monitoring@infra.example.internal"", ""resource"": ""db://prod/customers"", ""client"": ""psql/16.2"", ""src_ip"": ""192.168.83.254"", ""latitude"": 19.04841, ""longitude"": 72.85874, ""event"": ""blocked by policy""}"
322,"2026-01-16T12:00:00Z | entity=ADMIN | email=root@localhost | action=""Access granted"" | resource=/etc/ssh/sshd_config | tool=OpenSSH_9.6p1 | ip=127.0.0.1 | status=SUCCESS"
323,"198.51.100.46 - - [16/Mar/2026:18:21:13 +0530] ""GET https://portal.corp.example.com/reports/q1 HTTP/1.1"" 200 36331 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.2478.67"" role=User user=<aisha_dlamini@mail.example.org> loc=POINT(72.861718 19.043839) msg=""Request allowed"""
324,"05/27/2026 11:10:03 AM - Customer aisha.okafor@customers.example.net successfully accessed https://shop.example.org/returns/22945 from 10.58.215.41 using Safari/17.4.1, location (19.1126, 72.8568), result 200 OK"
325,"192.168.74.226 - - [2026-02-18 19:38:22.906] ""GET https://shop.example.org/orders/44549 HTTP/2.0"" 200 - ""https://sso.example.com/login"" ""Mozilla/5.0 (X11; Linux x86_64; rv:125.0) Gecko/20100101 Firefox/125.0"" role=Customer user=<KWAME.HADDAD@MAIL.EXAMPLE.CO.UK> lat=51.48542 lon=-0.17201 msg=""Request allowed"""
326,"20260405T151716;USER;SOFIA.ZHANG@CORP.EXAMPLE.COM;MobileSafari/17.4.1;https://portal.corp.example.com/reports/q2;-;;203.0.113.223;LOGIN OK;OK"
327,"02/26/2026 08:37:19 PM - Guest guest_8383@example.com was allowed to access https://portal.corp.example.com/dashboard from 198.51.100.245 using Firefox/125.0, location (40.6918, -73.9721), result 204 No Content"
328,"Jun 25 15:57:37 lb01 openvpn[8416]: {""entity_type"": ""user"", ""email"": ""olivia.rao+billing@example.co.uk"", ""resource"": ""/reports/q1"", ""tool"": ""MobileSafari/17.4.1"", ""ip"": ""198.51.100.77"", ""latitude"": 35.67178, ""longitude"": 139.68770, ""event"": ""permission denied"", ""result"": ""FAILED""}"
329,"2001:db8:9e4d:34a0::7c28 - - [2026-05-14 23:37:34.794] ""PUT https://portal.corp.example.com/payslips?id=9527 HTTP/2.0"" 302 30886 ""https://sso.example.com/login"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_4_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15"" role=User user=<yuki-desai@corp.example.com> geo=51.5296,-0.1616 msg=""Session started"""
330,"2026-05-28T12:36:39.597+05:30|email=zara.nair@eu.corp.example.com|action=Permission granted|path=/projects/alpha|tool=Firefox/124.0.2|ip=192.168.26.105|lat=12.95805|lon=77.55770|status=SUCCESS"
331,"2026-01-05T14:50:36.944+00:00 | entity_type=CUSTOMER | email=grace.tanaka49@example.com | action=Authenticated successfully | resource=https://shop.example.org/account | tool=Chrome/124.0.6367.91 | ip=10.165.140.225 | lat=51.5360 | lon=-0.0872 | status=ok"
332,"2026-03-04T03:49:25Z | entity=API_CLIENT | email=api-client-6525@partners.example.net | action=""Login successful"" | resource=https://api.example.com/api/v1/users/60002/roles | client=curl/8.4.0 | ip=2001:db8::b50a | lat=51.5409 | lon=-0.0935 | outcome=SUCCESS"
333,"Jan 31 08:06:11 vpn01 openvpn[6163]: {""entity_type"": ""user"", ""user"": ""zshärma@corp.example.com"", ""resource"": ""https://portal.corp.example.com/wiki/Onboarding"", ""src_ip"": ""198.51.100.155"", ""geo"": {""lat"": 19.1213717, ""lng"": 72.8612433}, ""msg"": ""access granted"", ""http_status"": 200}"
334,"03/01/2026 10:37:38 PM - Admin anonymous was sent an MFA challenge for https://admin.corp.example.com/iam/roles from 192.0.2.55 using Firefox/125.0, location at 51°33'07.2""N 0°10'06.6""W [PENDING]"
335,"2026-04-02T04:05:37.687Z | entity=User | user=olivia.sharma@mail.example.org | action=""ACCESS DENIED"" | resource=/projects/alpha | agent=Edge/124.0.2478.67 | ip=198.51.100.83 | lat=51.54201 | lon=-0.11044 | status=BLOCKED"
336,"<110>1 2026-01-28T19:15:16.742Z api-gw02 authd 6597 ACCESS - {""principal_type"": ""user"", ""principal"": ""aisha.rossi61@example.gov.in"", ""res"": ""/leave/apply"", ""tool"": ""Firefox/125.0"", ""src_ip"": ""192.0.2.212"", ""latitude"": 13.0031, ""longitude"": 77.5643, ""msg"": ""request permitted""}"
337,"2001:0db8:3078:c88e:e674:bb20:2954:779a - INGRID.RAO@CORP.EXAMPLE.COM [2026-01-14 23:45:39.342] ""POST /timesheets?id=2538 HTTP/1.1"" 403 49875 ""-"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_4_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15"" role=USER loc=POINT(139.6720770 35.7139850) msg=""Blocked by WAF policy"""
338,"Feb 10 18:09:23 api-gw01 guard[6304]: {""entity_type"":""customer"",""user"":""sneha.kulkarni@example.com"",""resource"":""/checkout"",""client"":""Chrome/123.0.6312.122"",""src_ip"":""2001:db8:c6a9:40cf::dcd0"",""msg"":""login successful"",""status"":200}"
339,"2026-02-09T14:54:10Z | type=customer | email=noah-menon@customers.example.net | action=""Resource not found"" | resource=https://shop.example.org/checkout | tool=Edge/124.0.2478.67 | ip=192.0.2.126 | lat=19.0576 | lon=72.8309 | result=NOT_FOUND"
340,"2026-04-15T13:17:51Z API Client integration.redwood@partners.example.net authenticated successfully to https://api.example.com/api/v2/shipments?status=in_transit via curl/8.4.0 from 192.0.2.163 (64.1748, -21.9630) - 302 Found"
